"heightagegroups","SEX","name","prev_less18.5","prev_18.5to20","prev_20to25","prev_25to30","prev_30to35","prev_35to40","prev_over40","TOTPOP","Age group (IL3)","Age group (IL)","code.x","meanheight","sdheight","region"
"18-29",0,"Afghanistan",0.0816963660196029,0.0708183244233893,0.456304396813036,0.234512226157383,0.10764474135149,0.038402383237559,0.0106215624383801,4535.1735,"18-29","18-29",4,155.979511493526,5.54025608829161,"ASIA"
"18-29",0,"Albania",0.066082351266279,0.106166777413919,0.553172796085291,0.205558746514229,0.0449703409750771,0.0175146651418113,0.00653432246626528,255.3675,"18-29","18-29",8,161.964564986631,6.06184782048171,"EUROPE"
"18-29",0,"Algeria",0.083075655256921,0.081298538630678,0.39928965305191,0.269719054909527,0.113184554863362,0.0395596776165159,0.0138728656710863,3572.659,"18-29","18-29",12,161.902506762341,5.77395352164001,"AFRICA"
"18-29",0,"Angola",0.113770388967374,0.186296742433782,0.415029063268185,0.188036520611123,0.0707957658870571,0.0179621328304715,0.00810938576939846,3492.145,"18-29","18-29",24,158.010713705806,6.92874600051851,"AFRICA"
"18-29",0,"Argentina",0.0461754576343167,0.0904729957192136,0.385440592813819,0.244270104098688,0.142344522314811,0.0599363319083071,0.0313599955046217,4100.794,"18-29","18-29",32,160.971170180926,5.99227702707218,"LATIN AM. CARIBBEAN"
"18-29",0,"Armenia",0.0745133793112936,0.134636634736574,0.583517461054406,0.158926164428042,0.0343624915235398,0.0103647760133469,0.00367907366747487,216.9415,"18-29","18-29",51,159.783467560485,6.0348027627053,"ASIA"
"18-29",0,"Australia",0.0424872796984776,0.0976023163265673,0.421060272025185,0.235460103549082,0.118463011498778,0.0470884735003999,0.0378385421496529,1999.447,"18-29","18-29",36,164.594205373726,6.14712853226021,"OCEANIA"
"18-29",0,"Austria",0.0718111923918689,0.146326056363866,0.559254146734166,0.151138095892812,0.0396532607217826,0.0226645935099389,0.00915265485588853,611.3115,"18-29","18-29",40,166.913908912527,6.06184782048171,"EUROPE"
"18-29",0,"Azerbaijan",0.077050789559224,0.102770967815367,0.529763373661941,0.201167533369973,0.0604297505062156,0.0198481596906914,0.00896942539658811,876.993,"18-29","18-29",31,161.105701357387,6.0117551514296,"ASIA"
"18-29",0,"Bahamas",0.0485522783497462,0.0395203316518339,0.204889697070089,0.201802476920846,0.179882850173721,0.158301827632055,0.167050538451063,37.3385,"18-29","18-29",44,163.206835396849,6.36019356668325,"LATIN AM. CARIBBEAN"
"18-29",0,"Bahrain",0.0564366301009155,0.0587681358796169,0.322388622810536,0.297316642818024,0.172696131892873,0.0597028542014864,0.0326909826671928,117.529,"18-29","18-29",48,157.870292319165,6.0181418235765,"ASIA"
"18-29",0,"Bangladesh",0.133256550036692,0.124778705877026,0.459065112886322,0.230825991956416,0.044408347070638,0.00646144033755167,0.00120385168630004,20184.5115,"18-29","18-29",50,152.197864060291,5.77351262582327,"ASIA"
"18-29",0,"Barbados",0.0687649434475899,0.0656427058756758,0.236645340371581,0.25004685097696,0.14139420367767,0.134592817157903,0.102913138234323,21.9185,"18-29","18-29",52,165.458226135566,6.36019356668325,"LATIN AM. CARIBBEAN"
"18-29",0,"Belarus",0.100907743156784,0.165844034019469,0.544959384812681,0.13880364946527,0.0366095472290459,0.0103437020807663,0.00253200421255654,545.0785,"18-29","18-29",112,166.76047808089,6.11766666753474,"EUROPE"
"18-29",0,"Belgium",0.0606627020253778,0.0919523376906134,0.504016781747098,0.178353441098892,0.088639693727185,0.0644927011228761,0.0118823421833831,813.6245,"18-29","18-29",56,164.042362356487,6.06184782048171,"EUROPE"
"18-29",0,"Belize",0.0481529154997763,0.0503903161923048,0.245354976482764,0.25454745351465,0.201766055906385,0.115376342973887,0.0844119402610404,45.8205,"18-29","18-29",84,157.918114336311,6.58037916399165,"LATIN AM. CARIBBEAN"
"18-29",0,"Benin",0.0817089432789927,0.130785835335246,0.566098303509497,0.157904683542264,0.0437135849420692,0.0116491850939504,0.00813946505005468,1411.037,"18-29","18-29",204,158.427292216077,6.64239837791773,"AFRICA"
"18-29",0,"Bhutan",0.0599387821913951,0.0653641145023632,0.46263487279277,0.317114319255137,0.078323038311221,0.013204767570067,0.00342010479057264,83.0455,"18-29","18-29",64,154.840408687111,5.73297062593207,"ASIA"
"18-29",0,"Bolivia",0.0262747536149396,0.0512900120277545,0.412646598099546,0.319963929332213,0.120980398280968,0.0529709569347034,0.0158733511131037,1297.464,"18-29","18-29",68,155.259753085169,6.07613848561679,"LATIN AM. CARIBBEAN"
"18-29",0,"Bosnia and Herzegovina",0.0953592142149663,0.129771267804452,0.588493577456995,0.132247378497267,0.0378709542359931,0.0109215908740205,0.00533601614332224,190.281,"18-29","18-29",70,167.304237358847,6.06184782048171,"EUROPE"
"18-29",0,"Botswana",0.144662308102289,0.141343125755122,0.362969068133562,0.207164011037596,0.0953327318357355,0.0315350846754738,0.0169936700479733,299.4165,"18-29","18-29",72,162.058265761069,7.47266800716149,"AFRICA"
"18-29",0,"Brazil",0.07212922658712,0.0836606503980941,0.381406544151586,0.254394021156561,0.124615313660585,0.0582650561236862,0.0255291883421316,19218.704,"18-29","18-29",76,162.075826489006,5.99227702707218,"LATIN AM. CARIBBEAN"
"18-29",0,"Brunei Darussalam",0.103145287605423,0.0976470806605754,0.219167496104426,0.281113978451523,0.159036184608764,0.106536491635242,0.0333534806832171,42.3555,"18-29","18-29",96,154.450748894781,5.20167516672992,"ASIA"
